Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,212.690002,216.360001,210.100006,211.589996,210.773514,78705500
2020-03-06,204.669998,209.149994,202.910004,208.020004,207.217300,89828400
2020-03-09,193.479996,201.160004,192.110001,193.570007,192.823059,116424000
2020-03-10,201.110001,204.300003,193.679993,204.110001,203.322388,100599200
2020-03-11,199.350006,200.750000,192.729996,195.220001,194.466690,89168800
2020-03-12,182.089996,190.779999,176.940002,177.320007,176.635757,137820700
2020-03-13,187.070007,194.479996,178.130005,192.339996,191.597794,134882000
2020-03-16,174.149994,184.679993,169.160004,169.300003,168.646713,92054400
2020-03-17,175.470001,184.389999,169.779999,182.139999,181.437149,121257100
2020-03-18,171.610001,179.220001,166.800003,176.600006,175.918533,114156300
2020-03-19,175.690002,183.490005,171.630005,177.660004,176.974457,120896500
2020-03-20,181.740005,182.869995,170.100006,170.699997,170.041306,118983900
2020-03-23,170.919998,174.210007,164.929993,170.460007,170.164093,124639800
2020-03-24,179.910004,183.830002,177.949997,183.660004,183.341171,94881800
2020-03-25,184.419998,189.509995,179.979996,182.300003,181.983536,88754900
2020-03-26,183.869995,192.720001,183.610001,191.899994,191.566864,79887600
2020-03-27,186.929993,190.509995,184.660004,185.300003,184.978333,58845000
2020-03-30,187.100006,192.490005,186.339996,192.039993,191.706619,49356900
2020-03-31,191.720001,195.250000,189.199997,190.399994,190.069458,62659300
2020-04-01,184.770004,187.660004,180.860001,182.309998,181.993515,53715400
2020-04-02,181.240005,190.100006,180.970001,186.009995,185.687088,56465300
2020-04-03,185.550003,187.070007,181.289993,183.369995,183.051666,47487600
2020-04-06,190.479996,197.649994,189.190002,196.479996,196.138916,64763500
2020-04-07,202.369995,202.660004,196.000000,196.399994,196.059052,69904500
2020-04-08,198.149994,201.169998,196.169998,200.570007,200.221817,45940400
2020-04-09,202.350006,203.220001,199.029999,200.860001,200.511307,68323900
2020-04-13,200.000000,203.419998,198.750000,203.029999,202.677536,42853900
2020-04-14,207.229996,212.500000,206.419998,211.860001,211.492218,63959600
2020-04-15,208.479996,211.830002,207.119995,209.429993,209.066422,47036000
2020-04-16,211.690002,214.369995,209.690002,213.250000,212.879807,64657400
2020-04-17,216.169998,216.509995,212.080002,215.289993,214.916260,62863200
2020-04-20,213.360001,215.880005,212.570007,212.740005,212.370697,38249100
2020-04-21,210.600006,211.160004,203.630005,204.889999,204.534317,72932800
2020-04-22,209.100006,212.350006,208.330002,210.970001,210.603760,40188800
2020-04-23,211.789993,214.440002,210.100006,210.520004,210.154541,43278500
2020-04-24,210.970001,214.300003,209.500000,213.839996,213.468781,34303400
2020-04-27,216.190002,216.630005,214.500000,215.559998,215.185791,36451700
2020-04-28,217.320007,217.320007,211.210007,211.500000,211.132843,46862800
2020-04-29,216.190002,219.970001,215.139999,219.000000,218.619812,48716400
2020-04-30,219.949997,220.039993,217.350006,218.910004,218.529984,42955500
2020-05-01,214.500000,216.669998,211.679993,212.740005,212.370697,48795000
2020-05-04,211.460007,215.449997,211.119995,215.220001,214.846390,32841000
2020-05-05,217.440002,220.139999,216.850006,217.660004,217.282150,37783100
2020-05-06,219.399994,221.039993,218.110001,219.000000,218.619812,36455200
2020-05-07,221.820007,222.729996,220.419998,221.820007,221.434937,38624800
2020-05-08,223.619995,225.000000,222.479996,224.860001,224.469650,31964400
2020-05-11,223.490005,227.929993,223.250000,226.869995,226.476151,35714100
2020-05-12,227.490005,228.100006,222.089996,222.119995,221.734406,41054100
2020-05-13,222.660004,224.610001,216.710007,219.339996,218.959229,65521200
2020-05-14,217.970001,221.869995,215.990005,221.830002,221.444916,51549300
2020-05-15,218.779999,223.330002,218.330002,223.270004,222.882416,55747200
2020-05-18,226.330002,228.679993,225.470001,227.429993,227.035172,42597600
2020-05-19,227.699997,229.850006,226.710007,226.860001,226.466171,36237300
2020-05-20,229.500000,231.759995,229.479996,231.389999,230.988312,37417000
2020-05-21,231.440002,232.139999,228.339996,228.869995,228.472687,43642900
2020-05-22,228.449997,229.869995,227.500000,229.660004,229.261322,28762400
2020-05-26,233.360001,233.570007,228.789993,229.039993,228.642380,33055300
2020-05-27,228.690002,230.410004,223.940002,230.289993,229.890213,55665600
2020-05-28,229.110001,233.470001,229.050003,229.990005,229.590744,42784300
2020-05-29,230.380005,233.600006,228.759995,233.360001,232.954895,50878600
2020-06-01,232.460007,234.449997,232.000000,234.059998,233.653671,25776000
2020-06-02,234.500000,235.690002,232.009995,235.630005,235.220947,33383400
2020-06-03,236.259995,237.470001,235.350006,236.690002,236.279114,37228700
2020-06-04,236.330002,237.789993,233.679993,235.029999,234.621994,38716100
2020-06-05,236.220001,240.300003,235.630005,239.690002,239.273911,47365600
2020-06-08,239.539993,241.679993,237.910004,241.550003,241.130676,32937300
2020-06-09,240.660004,244.179993,240.470001,243.300003,242.877640,35046300
2020-06-10,245.050003,247.820007,244.509995,246.220001,245.792572,58084400
2020-06-11,242.160004,243.589996,233.960007,234.020004,233.613754,72919400
2020-06-12,239.089996,240.399994,231.740005,235.880005,235.470520,72034800
2020-06-15,232.440002,239.449997,231.470001,238.750000,238.335541,45307400
2020-06-16,243.779999,244.389999,239.100006,242.850006,242.428421,48890100
2020-06-17,244.399994,245.500000,242.729996,243.619995,243.197067,34749300
2020-06-18,243.289993,244.529999,242.490005,244.279999,243.855927,30578600
2020-06-19,246.729996,247.000000,242.449997,244.240005,243.816010,49422100
2020-06-22,243.679993,246.869995,243.380005,246.740005,246.740005,24068700
2020-06-23,248.389999,251.149994,247.820007,248.839996,248.839996,32767400
2020-06-24,248.059998,249.330002,242.160004,243.710007,243.710007,46032400
2020-06-25,243.800003,246.339996,241.139999,246.029999,246.029999,36940800
2020-06-26,245.779999,245.960007,239.679993,240.220001,240.220001,52824600
2020-06-29,239.970001,242.850006,237.350006,242.839996,242.839996,34377800
2020-06-30,242.770004,248.160004,242.580002,247.600006,247.600006,38909200
2020-07-01,247.639999,251.520004,247.080002,250.490005,250.490005,34689200
2020-07-02,253.020004,254.270004,251.710007,252.190002,252.190002,31956500
2020-07-06,255.449997,258.929993,255.429993,258.390015,258.390015,34589000
2020-07-07,258.130005,260.880005,256.299988,256.609985,256.609985,36578200
2020-07-08,257.980011,260.019989,256.500000,259.989990,259.989990,30426300
2020-07-09,261.970001,262.869995,257.630005,262.179993,262.179993,40312900
2020-07-10,262.029999,264.230011,259.260010,263.970001,263.970001,32885300
2020-07-13,266.910004,269.790009,257.690002,258.540009,258.540009,64108100
2020-07-14,255.929993,260.790009,252.759995,260.369995,260.369995,72230500
2020-07-15,261.829987,262.690002,257.489990,260.899994,260.899994,54523900
2020-07-16,258.019989,259.779999,255.619995,259.119995,259.119995,47594100
2020-07-17,259.589996,260.309998,257.170013,259.420013,259.420013,35137900
2020-07-20,260.079987,267.429993,258.790009,266.779999,266.779999,40610100
2020-07-21,268.399994,268.410004,263.130005,264.000000,264.000000,43443000
2020-07-22,264.510010,265.890015,262.549988,264.929993,264.929993,29865500
2020-07-23,264.510010,265.239990,256.549988,258.010010,258.010010,51363500
2020-07-24,254.039993,256.929993,251.320007,255.559998,255.559998,54054500
2020-07-27,257.260010,260.519989,256.450012,260.119995,260.119995,36445700
2020-07-28,259.309998,259.850006,256.510010,256.809998,256.809998,31302400
2020-07-29,258.399994,260.660004,257.910004,259.769989,259.769989,27556900
2020-07-30,257.739990,261.709991,256.549988,261.130005,261.130005,41774500
2020-07-31,265.910004,265.950012,260.850006,265.790009,265.790009,53756200
2020-08-03,268.000000,270.149994,267.869995,269.380005,269.380005,32081600
2020-08-04,268.859985,270.480011,268.089996,270.380005,270.380005,24911300
2020-08-05,270.880005,271.519989,269.959991,271.049988,271.049988,21685900
2020-08-06,270.850006,274.980011,270.190002,274.640015,274.640015,28048200
2020-08-07,274.079987,274.880005,269.250000,271.470001,271.470001,44944900
2020-08-10,271.769989,271.980011,266.670013,270.309998,270.309998,34908700
