Date,Close
2008. 08. 26,76.31
2008. 08. 27,76.33
2008. 08. 28,76.4
2008. 08. 29,76.3
2008. 09. 02,76.26
2008. 09. 03,76.36
2008. 09. 04,76.4
2008. 09. 05,76.46
2008. 09. 08,77
2008. 09. 09,77.14
2008. 09. 10,77.14
2008. 09. 11,77.09
2008. 09. 12,76.84
2008. 09. 15,77.42
2008. 09. 16,76.67
2008. 09. 17,76.77
2008. 09. 18,75.68
2008. 09. 19,76.61
2008. 09. 22,76.41
2008. 09. 23,76.65
2008. 09. 24,76.64
2008. 09. 25,76.89
2008. 09. 26,76.12
2008. 09. 29,76.49
2008. 09. 30,75.62
2008. 10. 01,74.95
2008. 10. 02,76.41
2008. 10. 03,75.99
2008. 10. 06,75.38
2008. 10. 07,75.6
2008. 10. 08,74.48
2008. 10. 09,72.16
2008. 10. 10,69.96
2008. 10. 13,72.87
2008. 10. 14,73.8
2008. 10. 15,73.35
2008. 10. 16,73.34
2008. 10. 17,73.74
2008. 10. 20,73.71
2008. 10. 21,74.97
2008. 10. 22,75.31
2008. 10. 23,74.96
2008. 10. 24,74.1
2008. 10. 27,73.7
2008. 10. 28,73.13
2008. 10. 29,73.66
2008. 10. 30,73.17
2008. 10. 31,73.13
2008. 11. 03,73.4
2008. 11. 04,74.14
2008. 11. 05,74.7
2008. 11. 06,74.76
2008. 11. 07,74.6
2008. 11. 10,74.6
2008. 11. 11,74.79
2008. 11. 12,74.55
2008. 11. 13,74.55
2008. 11. 14,74.81
2008. 11. 17,74.62
2008. 11. 18,74.67
2008. 11. 19,74.93
2008. 11. 20,74.87
2008. 11. 21,74.5
2008. 11. 24,74.18
2008. 11. 25,75.46
2008. 11. 26,75.93
2008. 12. 01,75.84
2008. 12. 02,76.3
2008. 12. 03,75.94
2008. 12. 04,76.27
2008. 12. 05,75.71
2008. 12. 08,75.38
2008. 12. 09,75.78
2008. 12. 10,75.65
2008. 12. 11,76.46
2008. 12. 12,76.06
2008. 12. 15,76.86
2008. 12. 16,77.5
2008. 12. 17,77.52
2008. 12. 18,78.07
2008. 12. 19,77.57
2008. 12. 22,78.24
2008. 12. 23,78.53
2008. 12. 24,78.17
2008. 12. 26,78.23
2008. 12. 29,78.72
2008. 12. 30,78.87
2008. 12. 31,78.97
2009. 01. 02,78.68
2009. 01. 05,78.35
2009. 01. 06,77.85
2009. 01. 07,78.09
2009. 01. 08,77.96
2009. 01. 09,78.24
2009. 01. 12,77.93
2009. 01. 13,78.35
2009. 01. 14,78.64
2009. 01. 15,78.3
2009. 01. 16,78.42
2009. 01. 20,78.08
2009. 01. 21,77.54
2009. 01. 22,77.71
2009. 01. 23,77.56
2009. 01. 26,77.3
2009. 01. 27,77.77
2009. 01. 28,77.81
2009. 01. 29,77.29
2009. 01. 30,77.33
2009. 02. 02,77.3
2009. 02. 03,76.5
2009. 02. 04,76.64
2009. 02. 05,76.81
2009. 02. 06,76.8
2009. 02. 09,76.82
2009. 02. 10,77.24
2009. 02. 11,77.52
2009. 02. 12,77.32
2009. 02. 13,76.96
2009. 02. 17,77.46
2009. 02. 18,77.16
2009. 02. 19,76.83
2009. 02. 20,76.97
2009. 02. 23,77.1
2009. 02. 24,77.04
2009. 02. 25,76.65
2009. 02. 26,76.51
2009. 02. 27,76.59
2009. 03. 02,76.44
2009. 03. 03,76.18
2009. 03. 04,76.17
2009. 03. 05,76.52
2009. 03. 06,76.2
2009. 03. 09,75.92
2009. 03. 10,76
2009. 03. 11,76.16
2009. 03. 12,76.33
2009. 03. 13,76.27
2009. 03. 16,76.22
2009. 03. 17,76.05
2009. 03. 18,77.4
2009. 03. 19,77.35
2009. 03. 20,77
2009. 03. 23,76.82
2009. 03. 24,76.78
2009. 03. 25,76.52
2009. 03. 26,76.78
2009. 03. 27,76.97
2009. 03. 30,77.12
2009. 03. 31,77.15
2009. 04. 01,77.03
2009. 04. 02,76.88
2009. 04. 03,76.47
2009. 04. 06,76.55
2009. 04. 07,76.7
2009. 04. 08,77.06
2009. 04. 09,76.97
2009. 04. 13,77.09
2009. 04. 14,77.29
2009. 04. 15,77.4
2009. 04. 16,77.25
2009. 04. 17,76.84
2009. 04. 20,77.22
2009. 04. 21,77.07
2009. 04. 22,77.21
2009. 04. 23,77.27
2009. 04. 24,77.23
2009. 04. 27,77.4
2009. 04. 28,77.12
2009. 04. 29,77.01
2009. 04. 30,77.23
2009. 05. 01,76.83
2009. 05. 04,76.89
2009. 05. 05,76.88
2009. 05. 06,77.21
2009. 05. 07,76.94
2009. 05. 08,77.13
2009. 05. 11,77.45
2009. 05. 12,77.42
2009. 05. 13,77.65
2009. 05. 14,77.62
2009. 05. 15,77.6
2009. 05. 18,77.37
2009. 05. 19,77.54
2009. 05. 20,77.77
2009. 05. 21,77.37
2009. 05. 22,77.35
2009. 05. 26,77.19
2009. 05. 27,76.73
2009. 05. 28,76.93
2009. 05. 29,77.48
2009. 06. 01,76.69
2009. 06. 02,76.98
2009. 06. 03,77.24
2009. 06. 04,76.76
2009. 06. 05,76.24
2009. 06. 08,76.08
2009. 06. 09,76.29
2009. 06. 10,76.1
2009. 06. 11,76.47
2009. 06. 12,76.67
2009. 06. 15,76.82
2009. 06. 16,77.18
2009. 06. 17,77.14
2009. 06. 18,76.57
2009. 06. 19,76.75
2009. 06. 22,76.93
2009. 06. 23,77.28
2009. 06. 24,77.11
2009. 06. 25,77.64
2009. 06. 26,77.68
2009. 06. 29,77.82
2009. 06. 30,77.69
2009. 07. 01,77.38
2009. 07. 02,77.41
2009. 07. 03,77.41
2009. 07. 06,77.35
2009. 07. 07,77.51
2009. 07. 08,78.04
2009. 07. 09,77.81
2009. 07. 10,78.09
2009. 07. 13,77.96
2009. 07. 14,77.73
2009. 07. 15,77.34
2009. 07. 16,77.68
2009. 07. 17,77.48
2009. 07. 20,77.73
2009. 07. 21,78.2
2009. 07. 22,78.03
2009. 07. 23,77.77
2009. 07. 24,77.8
2009. 07. 27,77.7
2009. 07. 28,77.78
2009. 07. 29,77.75
2009. 07. 30,78.1
2009. 07. 31,78.44
2009. 08. 03,77.93
2009. 08. 04,77.86
2009. 08. 05,77.68
2009. 08. 06,77.73
2009. 08. 07,77.19
2009. 08. 10,77.82
